Transaction Date,Description,Amount,Category,Transaction ID
09/21/2025,Juniper Cafe,19.5,Food & Drink,ef0a37ce-992c-4962-bdfa-9a2114692428
09/20/2025,THE EVERLY RESTAURANT,120.85,Food & Drink,5d3b5b7f-f7bd-48bc-87f5-d8ad6c74f598
09/19/2025,UNVRS* 2025 IVEY HB...,30.9,Shopping,5684dcd1-8829-4755-8f00-63073cf60b65
09/19/2025,POUTINE FEAST,24.0,Food & Drink,32877d99-0ba1-4834-abd1-935391b47768
09/19/2025,HORNBY ESSO,46.17,Travel,1030e317-4205-4079-9175-da46e5c31077
09/18/2025,BURGER BURGER,10.38,Food & Drink,3c3f4598-7f66-4bc4-ab10-0a34279201f2
09/18/2025,IVEY BUSINESS SCHOOL,12.41,Personal,2e185a51-be95-4f87-bfea-ca3fb01e0f78
09/18/2025,DREW'S YIG 7924,25.04,Groceries,a712958d-1d0d-48f5-8bed-735196eb74eb
09/17/2025,IVEY BUSINESS SCHOOL,12.41,Personal,cf43622b-7a9b-43b1-b62c-74aa27b6217a
09/15/2025,TST-Marble Slab Creame,6.77,Food & Drink,ea090aa1-01d0-479b-9293-8af821736029
09/14/2025,DREW'S YIG 7924,95.01,Groceries,87f90635-7ed8-4cbe-b651-0c6a6aeca1f5
09/14/2025,SQ *WESTERN FAIR ASSOCIAT,20.0,Entertainment,35715410-9ed3-4cf8-8fdf-aa98b1c18ef9
09/13/2025,DOLLARAMA #1075,20.91,Shopping,42b4b54a-5f91-41bc-98fd-ec3e46631d06
09/13/2025,CHIPOTLE #2922,18.25,Food & Drink,867b4703-c7ab-45ba-b98e-0053d0043e41
09/13/2025,THE BEER STORE #3117,52.14,Food & Drink,153013ef-76b8-485f-b105-42fef1a14f28
09/12/2025,EVENTBRITE/PARKINGPASS,40.0,Entertainment,9e33f396-65ca-4786-a0d8-74025f843e79
09/11/2025,AMZN Mktp CA*QX56M5LO3,22.59,Shopping,ee46d539-00d6-4b55-9719-7920141d7181
09/11/2025,DREW'S YIG 7924,103.83,Groceries,cb118e54-fc71-4d1a-ae38-876ecab7757c
09/08/2025,SHELL C08057,66.04,Travel,a79795f1-2f12-4f26-af42-a1f4515c5a13
09/08/2025,REXALL PHARMACY #1727,16.94,Health & Wellness,9472ad30-21d7-4b07-b124-3f14468622e7
09/08/2025,WESTERN CAMPUS RECREATION,146.9,Health & Wellness,ea62b8fd-388b-4280-a7bd-f27ccf37fe2e
09/08/2025,PAYMENT - THANK YOU,-1779.26,Uncategorized,fa623523-d2c6-42b5-8b15-ff850f865a57
09/07/2025,TIN CUP,18.07,Food & Drink,6b208790-fda9-4b25-abc7-aad1736278aa
09/06/2025,WILLIE'S BEACH BAR,27.29,Food & Drink,45bd18cc-6a09-427a-9d40-897644fe99c3
09/06/2025,UBER CANADA/UBERTRIP,11.23,Travel,907e12ed-c682-4d20-a4a3-f5efd5147b3b
09/05/2025,DREW'S YIG 7924,116.82,Groceries,f221c0e2-7b06-415c-8936-48fbd96c8858
09/04/2025,BURGER BURGER,5.64,Food & Drink,abc80073-3ef8-434f-8067-c64127691cfe
09/04/2025,IVEY BUSINESS SCHOOL,11.29,Personal,aaf71467-6fcc-4cc2-948c-afae8ef391c2
09/03/2025,IVEY BUSINESS SCHOOL,11.29,Personal,ce518ae0-459e-446b-a485-7c0b78ca9c5d
09/02/2025,IVEY BUSINESS SCHOOL,11.29,Personal,baaee7ba-78c0-40de-a6a1-f1fa56826be8
09/01/2025,WWW.BLOOMEX.CA,55.68,Personal,67a303e3-a131-4368-a38e-86882f373bc9
09/01/2025,SP LISA GOZLAN,110.97,Uncategorized,563e7570-ff78-41a7-b254-4f8e3c3467bf
08/30/2025,UBER *TRIP HELP.UBER.COM,9.61,Travel,1b2ce70b-3424-4633-8c7b-e60966251417
08/30/2025,UBER CANADA/UBERTRIP,3.98,Travel,3bc0c95d-7164-4c15-8cb7-9cff4f187de4
08/30/2025,UBER CANADA/UBERTRIP,13.42,Travel,f25fda9f-a3e4-4ae4-8b2a-321c8ef95304
08/29/2025,MILES VARIETY,15.81,Shopping,9b2b4800-4d53-4a2c-8b0a-340ae1e86975
08/29/2025,UBER CANADA/UBERTRIP,10.43,Travel,12e52282-b954-46e7-b018-53ea074bf9c4
08/29/2025,LOST LOVE,18.98,Uncategorized,344967b2-7344-4240-9979-dab865adc6de
08/29/2025,BOUNCE* TICKET,156.52,Entertainment,3a744a98-dd61-499a-9327-511737cc13e7
