Transaction Date,Description,Amount,Category
09/21/2025,Juniper Cafe,19.5,Food & Drink
09/20/2025,THE EVERLY RESTAURANT,120.85,Food & Drink
09/19/2025,UNVRS* 2025 IVEY HB...,30.9,Personal
09/19/2025,POUTINE FEAST,24.0,Food & Drink
09/19/2025,HORNBY ESSO,46.17,Travel
09/18/2025,BURGER BURGER,10.38,Food & Drink
09/18/2025,Ivey Lunch,12.41,Food & Drink
09/18/2025,DREW'S YIG 7924,25.04,Groceries
09/17/2025,Ivey Lunch,12.41,Food & Drink
09/15/2025,TST-Marble Slab Creame,6.77,Food & Drink
09/14/2025,DREW'S YIG 7924,95.01,Groceries
09/14/2025,SQ *WESTERN FAIR ASSOCIAT,20.0,Entertainment
09/13/2025,DOLLARAMA #1075,20.91,Shopping
09/13/2025,CHIPOTLE #2922,18.25,Food & Drink
09/13/2025,THE BEER STORE #3117,52.14,Food & Drink
09/12/2025,EVENTBRITE/PARKINGPASS,40.0,Entertainment
09/11/2025,AMZN Mktp CA*QX56M5LO3,22.59,Shopping
09/11/2025,DREW'S YIG 7924,103.83,Groceries
09/08/2025,SHELL C08057,66.04,Travel
09/08/2025,REXALL PHARMACY #1727,16.94,Health & Wellness
09/08/2025,WESTERN CAMPUS RECREATION,146.9,Health & Wellness
09/08/2025,PAYMENT - THANK YOU,-1779.26,Uncategorized
09/07/2025,TIN CUP,18.07,Food & Drink
09/06/2025,WILLIE'S BEACH BAR,27.29,Food & Drink
09/06/2025,UBER CANADA/UBERTRIP,11.23,Travel
09/05/2025,DREW'S YIG 7924,116.82,Groceries
09/04/2025,BURGER BURGER,5.64,Food & Drink
09/04/2025,Ivey Lunch,11.29,Food & Drink
09/03/2025,Ivey Lunch,11.29,Food & Drink
09/02/2025,Ivey Lunch,11.29,Food & Drink
09/01/2025,WWW.BLOOMEX.CA,55.68,Personal
09/01/2025,SP LISA GOZLAN,110.97,Shopping
08/30/2025,UBER *TRIP HELP.UBER.COM,9.61,Travel
08/30/2025,UBER CANADA/UBERTRIP,3.98,Travel
08/30/2025,UBER CANADA/UBERTRIP,13.42,Travel
08/29/2025,MILES VARIETY,15.81,Food & Drink
08/29/2025,UBER CANADA/UBERTRIP,10.43,Travel
08/29/2025,LOST LOVE,18.98,Uncategorized
08/29/2025,BOUNCE* TICKET,156.52,Entertainment
08/28/2025,THE BEER STORE #3117,56.1,Food & Drink
08/28/2025,HONK PARKING,3.1,Travel
08/28/2025,DREW'S YIG 7924,159.68,Groceries
08/27/2025,ONROUTE NAPANEE E #1169,6.2,Food & Drink
08/27/2025,ONROUTE NAPANEE E #1169,46.83,Travel
08/26/2025,AGENCE DE MOBILITE DURABL,2.88,Travel
08/26/2025,AGENCE DE MOBILITE DURABL,7.15,Travel
08/26/2025,ROMIES,44.19,Uncategorized
08/26/2025,LA MAISON SIMONS INC (MTL,33.34,Shopping
08/26/2025,DR PETER WEINSTEIN DEN,260.0,Health & Wellness
08/25/2025,CANADIAN TIRE GAS BAR #20,57.53,Travel
08/25/2025,AIR-SERV A AN07562,2.5,Travel
08/23/2025,VOISIN #2052,25.33,Food & Drink
08/22/2025,GENTILE PIZZA PARLOUR,21.16,Food & Drink
08/22/2025,PHARMAPRIX 22,5.29,Health & Wellness
08/21/2025,MCKIBBIN'S BISHOP,7.16,Food & Drink
08/21/2025,CATHCART,17.29,Uncategorized
08/19/2025,AGENCE DE MOBILITE DURABL,4.57,Travel
10/18/2025,CHIPOTLE #2922,14.07,Food & Drink
10/18/2025,FAMOUS PLAYER 7422QPS,10.16,Entertainment
10/18/2025,BOUNCE* TICKET,6.47,Entertainment
10/18/2025,REXALL PHARMACY #1727,59.05,Health & Wellness
