Transaction Date,Description,Amount,Category
06/30/2025,INTEREST CREDIT,-0.32,Uncategorized
07/02/2025,UWO-TUITION  Q3H8U9,2000.0,Personal
07/09/2025,SEND E-TFR ***U7k,1020.0,E-Transfer
07/11/2025,TD VISA PREAUTH PYMT,521.16,Uncategorized
07/15/2025,E-TRANSFER ***KGv,-850.0,E-Transfer
07/17/2025,SEND E-TFR ***pDF,1600.0,E-Transfer
07/31/2025,INTEREST CREDIT,-0.3,Uncategorized
08/08/2025,SEND E-TFR ***FdY,1020.0,E-Transfer
08/11/2025,TD VISA PREAUTH PYMT,78.76,Uncategorized
08/15/2025,UWO-TUITION  R9K5K4,16762.02,Personal
08/19/2025,E-TRANSFER ***97V,-140.0,E-Transfer
08/28/2025,TD ATM W/D    008626,50.0,Uncategorized
08/29/2025,INTEREST CREDIT,-0.21,Uncategorized
09/02/2025,SEND E-TFR ***PhT,2.0,E-Transfer
09/08/2025,SEND E-TFR ***ZKF,1020.0,E-Transfer
09/08/2025,TD VISA      H7R5L7,1779.26,Uncategorized
09/16/2025,SEND E-TFR ***ufK,25.0,E-Transfer
09/16/2025,E-TRANSFER ***JyS,-420.0,E-Transfer
09/18/2025,SEND E-TFR ***pHb,25.0,E-Transfer
09/22/2025,E-TRANSFER ***EQQ,-55.0,E-Transfer
09/29/2025,INTEREST CREDIT,-0.12,Uncategorized
10/01/2025,SEND E-TFR ***U6Z,1020.0,E-Transfer
10/06/2025,TD VISA      X9U8K3,1438.4,Uncategorized
10/06/2025,SEND E-TFR ***9Cv,206.0,E-Transfer
10/06/2025,SEND E-TFR ***Fe4,42.0,E-Transfer
10/06/2025,E-TRANSFER ***KAG,-100.0,E-Transfer
10/06/2025,SEND E-TFR ***afY,28.25,E-Transfer
10/07/2025,SEND E-TFR ***s3G,250.0,E-Transfer
10/14/2025,SEND E-TFR ***Etr,300.0,E-Transfer
10/16/2025,E-TRANSFER ***qYW,-100.0,E-Transfer
10/16/2025,SEND E-TFR ***RUB,208.0,E-Transfer
08/08/2025,SEND E-TFR ***FdY,1020.0,E-Transfer
08/11/2025,TD VISA PREAUTH PYMT,78.76,Bills & Utilities
08/15/2025,UWO-TUITION  R9K5K4,16762.02,Personal
08/19/2025,E-TRANSFER ***97V,-140.0,E-Transfer
08/28/2025,TD ATM W/D    008626,50.0,Personal
08/29/2025,INTEREST CREDIT,-0.21,Uncategorized
09/02/2025,SEND E-TFR ***PhT,2.0,E-Transfer
09/08/2025,SEND E-TFR ***ZKF,1020.0,E-Transfer
09/08/2025,TD VISA      H7R5L7,1779.26,Uncategorized
09/16/2025,SEND E-TFR ***ufK,25.0,E-Transfer
09/16/2025,E-TRANSFER ***JyS,-420.0,E-Transfer
09/18/2025,SEND E-TFR ***pHb,25.0,E-Transfer
09/22/2025,E-TRANSFER ***EQQ,-55.0,E-Transfer
09/29/2025,INTEREST CREDIT,-0.12,Uncategorized
10/01/2025,SEND E-TFR ***U6Z,1020.0,E-Transfer
10/06/2025,TD VISA      X9U8K3,1438.4,Uncategorized
10/06/2025,SEND E-TFR ***9Cv,206.0,E-Transfer
10/06/2025,SEND E-TFR ***Fe4,42.0,E-Transfer
10/06/2025,E-TRANSFER ***KAG,-100.0,E-Transfer
10/06/2025,SEND E-TFR ***afY,28.25,E-Transfer
10/07/2025,SEND E-TFR ***s3G,250.0,E-Transfer
10/14/2025,SEND E-TFR ***Etr,300.0,E-Transfer
10/16/2025,E-TRANSFER ***qYW,-100.0,E-Transfer
10/16/2025,SEND E-TFR ***RUB,208.0,E-Transfer
10/27/2025,E-TRANSFER ***XFe,-40.0,E-Transfer
10/27/2025,SEND E-TFR ***4uD,7.46,E-Transfer
10/27/2025,E-TRANSFER ***y4h,-74.76,E-Transfer
10/30/2025,TD VISA      Q6U6Y8,1893.17,Uncategorized
10/31/2025,SEND E-TFR ***rjU,62.7,E-Transfer
10/31/2025,SEND E-TFR ***7Uj,1020.0,E-Transfer
10/31/2025,INTEREST CREDIT,-0.1,Uncategorized
11/03/2025,SEND E-TFR ***PxG,140.0,E-Transfer
11/04/2025,SEND E-TFR ***Ef8,150.87,E-Transfer
