Transaction Date,Description,Category,Amount
07/15/2025,UBER   *TRIP,Travel,-20.49
07/15/2025,UBER   *TRIP,Travel,-11.99
07/15/2025,UBER   *TRIP,Travel,-10.81
07/11/2025,UBER   *TRIP,Travel,-9.99
07/12/2025,UBER   *TRIP,Travel,-13.97
07/08/2025,JULIES KITCHEN #2,Food & Drink,-16.88
07/07/2025,ARMK ORACLE PARK - CON,Food & Drink,-13.42
07/06/2025,TRADER JOE S #200,Groceries,-49.96
07/07/2025,UBER   *TRIP,Travel,-34.26
07/07/2025,UBER   *TRIP,Travel,-40.96
07/04/2025,UBER   *TRIP,Travel,-11.07
07/03/2025,CHIPOTLE 1857,Food & Drink,-13.31
07/03/2025,SQ *BAREBOTTLE BREWING CO,Food & Drink,-7.6
07/03/2025,BAYWHEE*SUBSCRIPTION,Travel,-31.46
07/02/2025,WAYMO,Travel,-15.28
07/02/2025,WAYMO,Travel,-17.02
06/29/2025,CLIPPER SYSTEMS MOBILE #1,Travel,-20.0
06/29/2025,TRADER JOE S #200,Groceries,-24.43
06/30/2025,HONS WUN-TUN HOUSE LLC,Food & Drink,-35.45
06/29/2025,GOLDEN GATE TRANSIT,Travel,-14.0
06/29/2025,GOLDEN GATE TRANSIT,Travel,-28.0
06/29/2025,LS STUDIO 333,Shopping,-10.93
06/29/2025,SQ *TIVOLI DECOR,Home,-37.14
06/29/2025,THE SETUP,Entertainment,-70.0
06/28/2025,TST*SUSHI ON NORTH BEACH,Food & Drink,-49.82
06/27/2025,TST* FLORES - UNION,Food & Drink,-75.01
06/28/2025,LUKE'S LOCAL UNION,Groceries,-15.21
06/26/2025,UBER   *TRIP,Travel,-19.95
06/24/2025,TRADER JOE S #200,Groceries,-81.01
06/23/2025,CLIPPER SYSTEMS MOBILE #1,Travel,-20.0
06/26/2025,WAYMO,Travel,-15.5
06/24/2025,CHIPOTLE 2828,Food & Drink,-12.9
06/24/2025,CVS/PHARMACY #10080,Health & Wellness,-4.55
06/23/2025,TRADER JOE S #200,Groceries,-7.84
06/25/2025,UBER   *TRIP,Travel,-5.62
06/24/2025,LYFT   *BAYWHEELS BIKE,Travel,-0.98
06/23/2025,LYFT   *BAYWHEELS BIKE,Travel,-3.63
06/21/2025,SEQUOIA PARKS CONSERVANCY,Shopping,-14.0
06/21/2025,Subway 13056,Food & Drink,-12.99
06/20/2025,RECREATION.GOV,Bills & Utilities,-35.0
06/20/2025,UBER   *TRIP,Travel,-19.93
06/18/2025,RECREATION.GOV,Bills & Utilities,-64.0
06/16/2025,TRADER JOE S #200,Groceries,-20.81
06/14/2025,CLIPPER SYSTEMS MOBILE #1,Travel,-20.0
06/15/2025,AMK SAN JOSE ICE CENTER,Food & Drink,-164.06
06/15/2025,UBER   *TRIP,Travel,-9.41
06/15/2025,TST*THE GOOD LIFE PIZZA,Food & Drink,-6.63
06/13/2025,UBER   *TRIP,Travel,-16.93
06/14/2025,BEVERAGES &amp; MORE #71,Food & Drink,-59.17
06/11/2025,LYFT   *BAYWHEELS BIKE,Travel,-2.28
06/10/2025,LYFT   *BAYWHEELS BIKE,Travel,-3.96
