Transaction ID,Transaction Date,Description,Category,Amount
6807ec75-db33-48ea-916f-bbe99432a856,10/18/2025,CHIPOTLE #2922,Food & Drink,14.07
26fd5ed1-d90c-4163-9c8a-d912ae273cde,10/18/2025,FAMOUS PLAYER 7422QPS,Entertainment,10.16
f62c6f70-900b-499e-b770-b1553f1392d9,10/18/2025,BOUNCE* TICKET,Entertainment,6.47
645f0338-80af-4a52-8a67-f2179d7ddd55,10/18/2025,REXALL PHARMACY #1727,Health & Wellness,59.05
54268a22-b0c0-4927-8e3c-81425029bb2c,10/16/2025,WESTERN PARKING SERVICES,Travel,35.0
957fb7a0-cf02-42dc-ab81-2920a1d6a63e,10/16/2025,MILES VARIETY,Shopping,7.49
1def6baa-d8f4-4225-a0d0-b36fc32c1a0d,10/14/2025,IVEY BUSINESS SCHOOL,Uncategorized,11.96
370980de-bc67-4676-89df-a0683ecbc49d,10/14/2025,IVEY STARBUCKS,Food & Drink,4.8
ae71befa-3464-4c04-a9dd-3541725af9f0,10/11/2025,SHELL C02385,Travel,61.06
f72e3933-fe0a-4d65-b18b-3df1edfb3b51,10/10/2025,METRO LONDON  118,Groceries,6.98
2e3933ba-f9a5-4c11-890d-4767573c4785,10/10/2025,MECP-ONTPARK-INT-RESER,Travel,
ab7415f4-642b-4948-a9ab-3345c444f5c3,10/10/2025,FRESHCO #9755,Groceries,71.01
13b9b54d-fe33-43f7-9173-cd9ca402d456,10/08/2025,PETE'S SPORTS,Shopping,10.0
ad8965d7-df65-4ff8-905a-78e3114b70de,10/08/2025,PETE'S SPORTS,Shopping,3.38
eadca34b-47aa-493a-969f-25ecc45ba922,10/07/2025,MILES VARIETY,Shopping,5.19
ef640238-7e41-46ca-934b-c8b611ab5bdc,10/07/2025,UNVRS* LAST CALL: 2...,Entertainment,15.45
a28e12c3-454e-4e0e-b756-88600f4c96c2,10/07/2025,RISB FOUNDATION,Uncategorized,90.4
28a33593-b213-408c-8012-5a2637ee49a7,10/07/2025,RISB FOUNDATION,Uncategorized,
1f1cb315-0b4e-4f6a-9dcc-dd473ef76f6c,10/07/2025,RISB FOUNDATION,Uncategorized,
cb4d127a-188e-43c4-8bbe-b06019311bd7,10/07/2025,Store,Uncategorized,13.55
4fea6e1d-fafc-4531-821e-e0723b7e3a52,10/06/2025,PAYMENT - THANK YOU,Uncategorized,
bdde19d5-1df2-403f-801f-1113aae818f0,10/05/2025,MECP-ONTPARK-INT-RESER,Travel,98.57
e3f92f87-f15a-4961-ae67-3f1278ea01b3,10/04/2025,PLAY IT AGAIN SPORTS L,Shopping,1096.0
540be379-1e7b-430e-809b-2fde839f3ec6,10/03/2025,RISB FOUNDATION,Uncategorized,389.85
4392e266-2b3b-423c-b30a-610c5d762bd0,10/03/2025,UBER CANADA/UBERTRIP,Travel,9.94
