Transaction ID,Transaction Date,Description,Category,Amount
3f2e3d32-63ee-4ecc-80c0-53db7b6f2086,08/08/2025,SEND E-TFR ***FdY,E-Transfer,1020.0
1d80c5bd-ac8e-49b1-953a-6cf201057eee,08/15/2025,UWO-TUITION  R9K5K4,Personal,16762.02
1e6c6541-1906-4b2c-8689-a8616d7357ed,08/19/2025,E-TRANSFER ***97V,E-Transfer,-140.0
34466187-a8df-4721-86d2-3147946032fa,08/28/2025,TD ATM W/D    008626,Uncategorized,50.0
8d84191f-4e50-4d23-a0f6-689f0995d389,08/29/2025,INTEREST CREDIT,Uncategorized,-0.21
d7729989-993a-4dcd-b7c7-6d5b38502097,09/02/2025,SEND E-TFR ***PhT,E-Transfer,2.0
656c38db-56a3-4af8-b36b-262b9eb5678e,09/08/2025,SEND E-TFR ***ZKF,E-Transfer,1020.0
e3e4013f-e25c-45fa-8ee8-bc3fbeabfb7f,09/16/2025,SEND E-TFR ***ufK,E-Transfer,25.0
adc05efe-9d7a-4897-ad34-c1ab47b3eb55,09/16/2025,E-TRANSFER ***JyS,E-Transfer,-420.0
34981514-66e9-407e-adc4-17355bbf829c,09/18/2025,SEND E-TFR ***pHb,E-Transfer,25.0
ae21aae5-c19b-4073-b85e-f1ee5b33fb5e,09/22/2025,E-TRANSFER ***EQQ,E-Transfer,-55.0
ec97d51b-1573-4af4-869b-6c3efb5c4c81,09/29/2025,INTEREST CREDIT,Uncategorized,-0.12
d0bd0e73-713d-480b-9ab2-2e5cf7a9d097,10/01/2025,SEND E-TFR ***U6Z,E-Transfer,1020.0
c7337eea-5334-4ba4-95d4-5fd3dead4253,10/06/2025,SEND E-TFR ***9Cv,E-Transfer,206.0
0d14e7fc-a668-4205-81da-be8cf54f946b,10/06/2025,SEND E-TFR ***Fe4,E-Transfer,42.0
215e0948-3916-420b-98ba-89762eb27ea9,10/06/2025,E-TRANSFER ***KAG,E-Transfer,-100.0
5afffded-1387-4e54-a049-92a8f9998eb2,10/06/2025,SEND E-TFR ***afY,E-Transfer,28.25
ca56891f-745d-4336-89fe-5ec31d13f271,10/07/2025,SEND E-TFR ***s3G,E-Transfer,250.0
3732fcaa-0cde-4dfc-8543-cc3be4b10bb4,10/14/2025,SEND E-TFR ***Etr,E-Transfer,300.0
54d18de5-7343-476b-baa9-d4a28cba7abe,10/16/2025,E-TRANSFER ***qYW,E-Transfer,-100.0
6ffcd857-8fb6-4f7b-9554-b6f4942e78d0,10/16/2025,SEND E-TFR ***RUB,E-Transfer,208.0
09ab343d-3220-42ea-9505-de18ccc7b2f0,10/27/2025,E-TRANSFER ***XFe,E-Transfer,-40.0
e044ee6f-3a98-4332-af0e-105ef2d90067,10/27/2025,SEND E-TFR ***4uD,E-Transfer,7.46
26e06cfa-a622-4a4b-90d9-b20b9c3610e2,10/27/2025,E-TRANSFER ***y4h,E-Transfer,-74.76
61c92092-36ba-4293-ac78-5a54154c4fa3,10/31/2025,SEND E-TFR ***rjU,E-Transfer,62.7
da8fb4cc-b40f-40c4-b4ac-09a358fe6a0c,10/31/2025,SEND E-TFR ***7Uj,E-Transfer,1020.0
c78ecfad-671f-49c5-816b-1d83325a9ac7,10/31/2025,INTEREST CREDIT,Uncategorized,-0.1
eb02817f-0569-44f7-ae61-9f561ad8dc64,11/03/2025,SEND E-TFR ***PxG,E-Transfer,140.0
07cfdab4-b6ef-4348-84c4-c464a5721b86,11/04/2025,SEND E-TFR ***Ef8,E-Transfer,150.87
